Time,1 LVL TZ: Zone Lights Electricity Rate (W) - Hourly,2 LVL TZ: Zone Lights Electricity Rate (W) - Hourly,1 LVL TZ: Zone Electric Equipment Electricity Rate (W) - Hourly,2 LVL TZ: Zone Electric Equipment Electricity Rate (W) - Hourly,CONST SPD FAN: Fan Electricity Rate (W) - Hourly,CONST SPD FAN 1: Fan Electricity Rate (W) - Hourly,FAN CONSTANT VOLUME 1: Fan Electricity Rate (W) - Hourly,1 SPD DX CLG COIL: Cooling Coil Electricity Rate (W) - Hourly,1 SPD DX CLG COIL 1: Cooling Coil Electricity Rate (W) - Hourly,COIL COOLING DX SINGLE SPEED 1: Cooling Coil Electricity Rate (W) - Hourly,PUMP CONSTANT SPEED 1: Pump Electricity Rate (W) - Hourly
21 Jul 11:00,41.5261598103294,380.0908184352175,0,51.907699762911754,204.85268064028352,0,0,107.49392563532577,0,0,32.24248204999236
21 Jul 12:00,41.5261598103294,380.0908184352175,0,51.907699762911754,204.85268064028352,0,0,110.26448753175602,0,0,32.24248204999236
21 Jul 13:00,41.5261598103294,380.0908184352175,0,51.907699762911754,204.85268064028352,0,0,105.14675807569814,0,0,32.24248204999236
21 Jul 14:00,41.5261598103294,380.0908184352175,0,51.907699762911754,204.85268064028352,0,0,99.88518837373472,0,0,32.24248204999236
21 Jul 15:00,41.5261598103294,380.0908184352175,0,51.907699762911754,204.85268064028352,0,0,103.09642354237526,0,0,32.24248204999236
21 Jul 16:00,41.5261598103294,380.0908184352175,0,51.907699762911754,204.85268064028352,0,0,100.24950989991436,0,0,32.24248204999236
21 Jul 17:00,41.5261598103294,380.0908184352175,0,51.907699762911754,204.85268064028352,0,0,94.58322129425949,0,0,32.24248204999236
21 Jul 18:00,1016.5261598103294,380.0908184352175,5000,51.907699762911754,204.85268064028355,0,0,139.97921027011526,0,0,0.537374700833206
21 Jul 19:00,41.5261598103294,380.0908184352175,5000,51.907699762911754,204.85268064028352,0,0,122.43550510485916,0,0,0
21 Jul 20:00,41.5261598103294,380.0908184352175,5000,51.907699762911754,204.85268064028352,0,0,123.31964250479776,0,0,0
21 Jul 21:00,0,37.5,8.76605952838605,0,204.85268064028358,0,97.14285714285717,2756.098375904656,0,37.50321911419538,0
21 Jul 22:00,0,37.5,8.76605952838605,0,204.85268064028358,0,97.14285714285717,2326.7381979699117,0,0,0
21 Jul 23:00,900,37.5,8.76605952838605,0,204.85268064028355,0,97.14285714285712,1848.031301709789,0,0,32.24248204999236
22 Jul 00:00,75,37.5,8.76605952838605,0,204.85268064028347,0,97.1428571428571,1374.8881052840013,0,0,32.24248204999234
21 Jan 01:00,0,37.5,0,0,204.85268064028352,0,97.14285714285712,0,0,0,0
21 Jan 02:00,0,37.5,0,0,204.85268064028352,0,97.14285714285712,0,0,0,0
21 Jan 03:00,0,37.5,0,0,204.85268064028352,0,97.14285714285712,0,0,0,0
21 Jan 04:00,0,37.5,0,0,204.85268064028352,0,97.14285714285712,0,0,0,0
21 Jan 05:00,0,37.5,0,0,204.85268064028352,0,97.14285714285712,0,0,0,32.24248204999236
21 Jan 06:00,0,37.5,0,0,204.85268064028352,0,97.14285714285712,0,0,0,0
21 Jan 07:00,0,37.5,0,0,204.85268064028352,0,97.14285714285712,0,0,0,0
21 Jan 08:00,75,37.5,0,0,204.85268064028355,0,97.14285714285712,0,0,0,8.597995213331297
21 Jan 09:00,941.5261598103294,380.0908184352175,0,51.907699762911754,204.85268064028355,0,0,0,0,0,32.24248204999236
21 Jan 10:00,41.5261598103294,380.0908184352175,0,51.907699762911754,204.85268064028352,0,0,0,0,0,32.24248204999236
21 Jan 11:00,41.5261598103294,380.0908184352175,0,51.907699762911754,204.85268064028352,0,0,0,0,0,32.24248204999236
21 Jan 12:00,41.5261598103294,380.0908184352175,0,51.907699762911754,204.85268064028352,0,0,0,0,0,32.24248204999236
21 Jan 13:00,41.5261598103294,380.0908184352175,0,51.907699762911754,204.85268064028352,0,0,0,0,0,32.242482049992354
21 Jan 14:00,41.5261598103294,380.0908184352175,0,51.907699762911754,204.85268064028352,0,0,0,0,0,32.24248204999236
21 Jan 15:00,41.5261598103294,380.0908184352175,0,51.907699762911754,204.85268064028352,0,0,0,0,0,32.24248204999236
21 Jan 16:00,41.5261598103294,380.0908184352175,0,51.907699762911754,204.85268064028352,0,0,0,0,0,32.24248204999236
21 Jan 17:00,41.5261598103294,380.0908184352175,0,51.907699762911754,204.85268064028352,0,0,0,0,0,32.24248204999236
21 Jan 18:00,1016.5261598103294,380.0908184352175,5000,51.907699762911754,204.85268064028364,0,0,0,0,0,2.149498803332824
21 Jan 19:00,41.5261598103294,380.0908184352175,5000,51.907699762911754,204.85268064028352,0,0,0,0,0,6.141425152379497
21 Jan 20:00,41.5261598103294,380.0908184352175,5000,51.907699762911754,204.85268064028352,0,0,0,0,0,0
21 Jan 21:00,0,37.5,8.76605952838605,0,204.85268064028355,0,97.14285714285712,0,0,0,0
21 Jan 22:00,0,37.5,8.76605952838605,0,204.85268064028352,0,97.14285714285712,0,0,0,0
21 Jan 23:00,900,37.5,8.76605952838605,0,204.85268064028352,0,97.14285714285712,0,0,0,32.24248204999236
22 Jan 00:00,75,37.5,8.76605952838605,0,204.85268064028352,0,97.14285714285712,0,0,0,32.24248204999236
21 Jan 01:00,0,37.5,0,0,204.85268064028352,0,97.14285714285712,0,0,0,0
21 Jan 02:00,0,37.5,0,0,204.85268064028352,0,97.14285714285712,0,0,0,0
21 Jan 03:00,0,37.5,0,0,204.85268064028352,0,97.14285714285712,0,0,0,0
21 Jan 04:00,0,37.5,0,0,204.85268064028352,0,97.14285714285712,0,0,0,0
21 Jan 05:00,0,37.5,0,0,204.85268064028352,0,97.14285714285712,0,0,0,32.24248204999236
21 Jan 06:00,0,37.5,0,0,204.85268064028352,0,97.14285714285712,0,0,0,0
21 Jan 07:00,0,37.5,0,0,204.85268064028352,0,97.14285714285712,0,0,0,0
21 Jan 08:00,75,37.5,0,0,204.85268064028352,0,97.14285714285712,0,0,0,12.090930768747135
21 Jan 09:00,941.5261598103294,380.0908184352175,0,51.907699762911754,204.85268064028352,0,0,59.502918960297144,0,0,32.24248204999236
21 Jan 10:00,41.5261598103294,380.0908184352175,0,51.907699762911754,204.85268064028352,0,0,55.484173598907226,0,0,32.24248204999236
21 Jan 11:00,41.5261598103294,380.0908184352175,0,51.907699762911754,204.85268064028352,0,0,43.65667994045083,0,0,32.24248204999236
21 Jan 12:00,41.5261598103294,380.0908184352175,0,51.907699762911754,204.85268064028352,0,0,66.02787848981825,0,0,32.24248204999236
21 Jan 13:00,41.5261598103294,380.0908184352175,0,51.907699762911754,204.85268064028352,0,0,80.61844865062086,0,0,32.24248204999236
21 Jan 14:00,41.5261598103294,380.0908184352175,0,51.907699762911754,204.85268064028352,0,0,79.34799198202877,0,0,32.24248204999236
21 Jan 15:00,41.5261598103294,380.0908184352175,0,51.907699762911754,204.85268064028352,0,0,79.5336062339464,0,0,32.24248204999236
21 Jan 16:00,41.5261598103294,380.0908184352175,0,51.907699762911754,204.85268064028352,0,0,79.7595843423306,0,0,32.24248204999236
21 Jan 17:00,41.5261598103294,380.0908184352175,0,51.907699762911754,204.85268064028352,0,0,79.86563005099676,0,0,32.24248204999236
21 Jan 18:00,1016.5261598103294,380.0908184352175,5000,51.907699762911754,204.85268064028355,0,0,153.91982721306533,0,0,1.074749401666412
21 Jan 19:00,41.5261598103294,380.0908184352175,5000,51.907699762911754,204.85268064028352,0,0,114.46785058192143,0,0,0
21 Jan 20:00,41.5261598103294,380.0908184352175,5000,51.907699762911754,204.85268064028352,0,0,144.7713030347426,0,0,0
21 Jan 21:00,0,37.5,8.76605952838605,0,204.85268064028355,0,97.14285714285712,0,0,0,0
21 Jan 22:00,0,37.5,8.76605952838605,0,204.85268064028352,0,97.14285714285712,0,0,0,0
21 Jan 23:00,900,37.5,8.76605952838605,0,204.85268064028352,0,97.14285714285712,0,0,0,32.24248204999236
22 Jan 00:00,75,37.5,8.76605952838605,0,204.85268064028352,0,97.14285714285712,0,0,0,32.24248204999236
21 Jan 01:00,0,37.5,0,0,204.85268064028352,0,97.14285714285712,0,0,0,0
21 Jan 02:00,0,37.5,0,0,204.85268064028352,0,97.14285714285712,0,0,0,0
21 Jan 03:00,0,37.5,0,0,204.85268064028352,0,97.14285714285712,0,0,0,0
21 Jan 04:00,0,37.5,0,0,204.85268064028352,0,97.14285714285712,0,0,0,0
21 Jan 05:00,0,37.5,0,0,204.85268064028352,0,97.14285714285712,0,0,0,32.24248204999236
21 Jan 06:00,0,37.5,0,0,204.85268064028352,0,97.14285714285712,0,0,0,0
21 Jan 07:00,0,37.5,0,0,204.85268064028352,0,97.14285714285712,0,0,0,0
21 Jan 08:00,75,37.5,0,0,204.85268064028355,0,97.14285714285712,0,0,0,8.597995213331297
21 Jan 09:00,941.5261598103294,380.0908184352175,0,51.907699762911754,204.85268064028355,0,0,0,0,0,32.24248204999236
21 Jan 10:00,41.5261598103294,380.0908184352175,0,51.907699762911754,204.85268064028352,0,0,0,0,0,32.24248204999236
21 Jan 11:00,41.5261598103294,380.0908184352175,0,51.907699762911754,204.85268064028352,0,0,0,0,0,32.24248204999236
21 Jan 12:00,41.5261598103294,380.0908184352175,0,51.907699762911754,204.85268064028352,0,0,0,0,0,32.24248204999236
21 Jan 13:00,41.5261598103294,380.0908184352175,0,51.907699762911754,204.85268064028352,0,0,0,0,0,32.242482049992354
21 Jan 14:00,41.5261598103294,380.0908184352175,0,51.907699762911754,204.85268064028352,0,0,0,0,0,32.24248204999236
21 Jan 15:00,41.5261598103294,380.0908184352175,0,51.907699762911754,204.85268064028352,0,0,0,0,0,32.24248204999236
21 Jan 16:00,41.5261598103294,380.0908184352175,0,51.907699762911754,204.85268064028352,0,0,0,0,0,32.24248204999236
21 Jan 17:00,41.5261598103294,380.0908184352175,0,51.907699762911754,204.85268064028352,0,0,0,0,0,32.24248204999236
21 Jan 18:00,1016.5261598103294,380.0908184352175,5000,51.907699762911754,204.85268064028364,0,0,0,0,0,2.149498803332824
21 Jan 19:00,41.5261598103294,380.0908184352175,5000,51.907699762911754,204.85268064028352,0,0,0,0,0,6.141425152379497
21 Jan 20:00,41.5261598103294,380.0908184352175,5000,51.907699762911754,204.85268064028352,0,0,0,0,0,0
21 Jan 21:00,0,37.5,8.76605952838605,0,204.85268064028355,0,97.14285714285712,0,0,0,0
21 Jan 22:00,0,37.5,8.76605952838605,0,204.85268064028352,0,97.14285714285712,0,0,0,0
21 Jan 23:00,900,37.5,8.76605952838605,0,204.85268064028352,0,97.14285714285712,0,0,0,32.24248204999236
22 Jan 00:00,75,37.5,8.76605952838605,0,204.85268064028352,0,97.14285714285712,0,0,0,32.24248204999236
01 Jan 01:00,0,37.5,0,0,204.85268064028352,0,97.14285714285712,0,0,0,0
01 Jan 02:00,0,37.5,0,0,204.85268064028352,0,97.14285714285712,0,0,0,0
01 Jan 03:00,0,37.5,0,0,204.85268064028352,0,97.14285714285712,0,0,0,0
01 Jan 04:00,0,37.5,0,0,204.85268064028352,0,97.14285714285712,0,0,0,0
01 Jan 05:00,0,37.5,0,0,204.85268064028352,0,97.14285714285712,0,0,0,32.24248204999236
01 Jan 06:00,0,37.5,0,0,204.85268064028352,0,97.14285714285712,0,0,0,0
01 Jan 07:00,0,37.5,0,0,204.85268064028352,0,97.14285714285712,0,0,0,0
01 Jan 08:00,75,37.5,0,0,204.85268064028352,0,97.14285714285712,0,0,0,18.80811452916221
01 Jan 09:00,941.5261598103294,380.0908184352175,0,51.907699762911754,204.85268064028352,0,0,39.1496318339241,0,0,32.24248204999236
01 Jan 10:00,41.5261598103294,380.0908184352175,0,51.907699762911754,204.85268064028352,0,0,52.19618720706614,0,0,32.24248204999236
01 Jan 11:00,41.5261598103294,380.0908184352175,0,51.907699762911754,204.85268064028352,0,0,39.54935708505406,0,0,32.24248204999236
01 Jan 12:00,41.5261598103294,380.0908184352175,0,51.907699762911754,204.85268064028352,0,0,61.169495711674195,0,0,32.24248204999236
01 Jan 13:00,41.5261598103294,380.0908184352175,0,51.907699762911754,204.85268064028352,0,0,76.2569193575737,0,0,32.24248204999236
01 Jan 14:00,41.5261598103294,380.0908184352175,0,51.907699762911754,204.85268064028352,0,0,74.97615631127218,0,0,32.24248204999236
01 Jan 15:00,41.5261598103294,380.0908184352175,0,51.907699762911754,204.85268064028352,0,0,75.06950815538401,0,0,32.24248204999236
