Time,600 GAL WATER HEATER - 600 KBTU/HR: Water Heater Heating Rate (W) - Hourly,COIL HEATING GAS 1: Heating Coil NaturalGas Rate (W) - Hourly,1 SPD DX CLG COIL: Cooling Coil Total Cooling Rate (W) - Hourly,1 SPD DX CLG COIL 1: Cooling Coil Total Cooling Rate (W) - Hourly,COIL COOLING DX SINGLE SPEED 1: Cooling Coil Total Cooling Rate (W) - Hourly
01 Jan 06:00,0,6101.221576104251,0,0,0
01 Jan 07:00,0,6178.140859372882,0,0,0
01 Jan 08:00,8097.168795745375,6197.052326302558,0,0,0
01 Jan 09:00,15259.389449790913,0,110.90213325947632,0,0
01 Jan 10:00,17957.620631903337,0,148.20586906065276,0,0
01 Jan 11:00,18858.927441773143,0,111.93111833145967,0,0
01 Jan 12:00,17920.47563473661,0,173.318338968054,0,0
01 Jan 13:00,0,0,216.36068493076448,0,0
01 Jan 14:00,0,0,212.68330685524623,0,0
01 Jan 15:00,0,0,212.94978314817388,0,0
01 Jan 16:00,0,0,213.89073599013804,0,0
01 Jan 17:00,0,0,214.8259182860685,0,0
01 Jan 18:00,1771.0624543004662,0,436.2123718666757,0,0
01 Jan 19:00,3597.766854954274,0,278.3783698742836,0,0
01 Jan 20:00,0,0,380.0665521939468,0,0
01 Jan 21:00,0,5427.513109858272,0,0,0
01 Jan 22:00,0,5365.9490196072,0,0,0
01 Jan 23:00,0,5352.6043134678275,0,0,0
02 Jan 00:00,0,5361.65866939625,0,0,0
02 Jan 01:00,0,5374.151328319939,0,0,0
02 Jan 02:00,0,5382.812559556578,0,0,0
02 Jan 03:00,0,5370.651786001385,0,0,0
02 Jan 04:00,0,5361.890532009538,0,0,0
02 Jan 05:00,8086.102482407827,5540.787242243444,0,0,0
02 Jan 06:00,0,5608.881755249445,0,0,0
02 Jan 07:00,0,5494.390875629401,0,0,0
02 Jan 08:00,0,5491.057677040415,0,0,0
02 Jan 09:00,12524.57063786586,0,93.3791637224848,0,0
02 Jan 10:00,17920.77255167188,0,146.9351817602595,0,0
02 Jan 11:00,18299.222594377436,0,112.47234946421976,0,0
02 Jan 12:00,18532.557653325497,0,173.1507682824065,0,0
02 Jan 13:00,0,0,215.9142963315018,0,0
02 Jan 14:00,0,0,213.66085486680709,0,0
02 Jan 15:00,0,0,211.9533043549255,0,0
02 Jan 16:00,0,0,211.17561057231055,0,0
02 Jan 17:00,0,0,213.60651409393438,0,0
02 Jan 18:00,0,0,434.6059352791994,0,0
02 Jan 19:00,0,0,304.143523986839,0,0
02 Jan 20:00,0,0,299.11964196139746,0,0
02 Jan 21:00,0,5767.372420401098,0,0,0
02 Jan 22:00,0,5738.3875089931535,0,0,0
02 Jan 23:00,0,5777.457098821971,0,0,0
03 Jan 00:00,0,5847.230164820019,0,0,0
03 Jan 01:00,0,5920.491390327901,0,0,0
03 Jan 02:00,0,6049.8910255510045,0,0,0
03 Jan 03:00,0,6201.499437421324,0,0,0
03 Jan 04:00,0,6356.411961447072,0,0,0
03 Jan 05:00,8085.994005525999,6532.046246890666,0,0,0
03 Jan 06:00,0,6728.414997562162,0,0,0
03 Jan 07:00,0,6921.2888366642,0,0,0
03 Jan 08:00,0,7177.131075092654,0,0,0
03 Jan 09:00,11620.776648546662,0,130.7425563511501,0,0
03 Jan 10:00,17920.44585047296,0,127.690061413131,0,0
03 Jan 11:00,17996.720061556087,0,91.07096428538473,0,0
03 Jan 12:00,18823.138101299348,0,142.2149270556364,0,0
